Product Name,Rating,Total Ratings,Price,Type,Platform,Categories
New Designed South Indian Lehenga Choli For women And Girls-Kumkum.…,5,3,599,Lahenga,Amazon,Cloth
Women's Jacquard Semi-Stitched Lehenga choli,4.2,631,869,Lahenga,Amazon,Cloth
"Women's Embroidery Kanchipuram Kanjivaram Indian Traditional Style Velvet Zari Weaving Un-Stitched Traditional Lehenga Choli Set, Half Saree",4.6,3,"1,197",Lahenga,Amazon,Cloth
Women's Georgette Semi Stitched Lehenga Choli In Blue Colour Wedding Lehenga CholiForWomenSF218ver-8,3.3,11,"2,599",Lahenga,Amazon,Cloth
Women's Tussar Silk With Dot & Ikkat Print With foil work Lehenga Choli Set,5,2,"2,499",Lahenga,Amazon,Cloth
Women Tussar Silk With Patola Print And Foil Work Lehenga choli (WHITE),1,1,"1,299",Lahenga,Amazon,Cloth
Ready To Wear Lehenga Choli For Women Bollywood Style Chinon Silk Fabric On Fully Stitched With Canvas & Can Can,2.3,3,"2,797",Lahenga,Amazon,Cloth
South indian Traditional Unstitched Narayanpet Half Sareee,3.6,88,999,Lahenga,Amazon,Cloth
Women's Georgette Semi Stitched Lehenga Choli In Multicolour Colour LEHENGACHOLIFORWEDDINGSF218ver-13,3.2,5,"2,599",Lahenga,Amazon,Cloth
"Women,s Tussar Silk With Leheriya And Foil Print Lehenga choli Set",4.4,26,"1,569",Lahenga,Amazon,Cloth
Soft Dola Silk Bandhani Print Lehenga Collection with Embroidery Dupatta (wine),3.7,122,"1,399",Lahenga,Amazon,Cloth
Women's Organza Semi-Stitched Lehenga Choli,3.5,280,969,Lahenga,Amazon,Cloth
"Lehenga Shrug Set For Women - Wine Georgette Zari Sequence Embroidered Lehenga Choli With Shrug For Wedding, Function, Ethnic Wear",4,18,"3,129",Lahenga,Amazon,Cloth
Women's Red Organza Woven Design Lehenga Choli With Dupatta,4.6,3,"1,429",Lahenga,Amazon,Cloth
Riya Women's Golden Zari and Sequins Work Art Silk Semi-Stitched Lehenga Choli,3.7,122,"1,899",Lahenga,Amazon,Cloth
Women's Embroidered Silk Semi-stitched Lehenga Choli (Pink),3.7,25,"1,499",Lahenga,Amazon,Cloth
"Women,s Tussar Silk With Leheriya And Foil Print Lehenga choli Set (WINE3)",4.7,5,"1,399",Lahenga,Amazon,Cloth
Women's Tussar Silk With Leheriya Printed And Foil Print Lehenga choli Set,4.5,2,"1,579",Lahenga,Amazon,Cloth
Women's Jacquard Semi-Stitched Lehenga choli,4,774,746,Lahenga,Amazon,Cloth
Women's Net Semi-stitched Lehenga Choli……,3.5,514,549,Lahenga,Amazon,Cloth
Women's Stylish Floral Velvet Heavy Embroidery Lehenga Choli With Dupatta Set,3,1,949,Lahenga,Amazon,Cloth
Women's Net Embroidered Semi-Stitched Lehenga Choli(Multicolor_Free Size),3.5,10,786,Lahenga,Amazon,Cloth
South indian Fancy Designer Flared Bridal lehenga Choli For Girls-Kumkum.,4,33,599,Lahenga,Amazon,Cloth
Women's Kanjiveram Silk pure Un-Stich Zari lehanga with blouse along with Duppta,5,1,999,Lahenga,Amazon,Cloth
Women's Jacquard Semi-Stitched Lehenga choli(Chahat),4,20,899,Lahenga,Amazon,Cloth
